"Date","Andalusia","Balearic Islands","Canary Islands","Catalonia","Valencia","Madrid","Rest of regions","Spain"
"71","2006-11-01",-0.012,-0.027,-0.028,0.038,0.072,0.124,-0.013,0.066
"72","2006-12-01",-0.014,0.073,0.005,0.05,0.029,0.05,-0.053,0.073
"73","2007-01-01",0.064,0.012,-0.024,0.068,0.044,0.093,0.041,0.051
"74","2007-02-01",0.062,0.089,-0.002,-0.007,0.108,0.264,-0.015,-0.031
"75","2007-03-01",0.131,0.177,0.019,0.047,0.086,0.095,-0.042,0.064
"76","2007-04-01",0.01,-0.07,-0.114,-0.061,-0.042,0.085,-0.011,0.036
"77","2007-05-01",0.052,-0.033,-0.07,-0.014,-0.014,0.054,-0.157,-0.054
"78","2007-06-01",0.049,0.027,-0.039,0.055,0.043,0.16,0.042,0.136
"79","2007-07-01",0.083,0.013,-0.037,-0.027,0.035,0.039,0.012,0.12
"80","2007-08-01",0.11,0.01,-0.021,0.03,0.073,0.022,-0.101,0.091
"81","2007-09-01",0.061,-0.006,-0.018,0.009,0.035,0.055,-0.098,0.101
"82","2007-10-01",0.057,-0.043,-0.014,-0.036,-0.054,0.17,-0.054,0.048
"83","2007-11-01",-0.016,0.077,0.043,0.095,-0.008,0.211,-0.111,0.057
"84","2007-12-01",-0.057,-0.029,0.061,0.029,0.006,0.021,-0.141,-0.011
"85","2008-01-01",-0.071,-0.02,0.043,0.031,0.023,0.213,-0.096,-0.006
"86","2008-02-01",-0.055,0.114,0.09,0.064,0.062,0.127,0.062,0.053
"87","2008-03-01",0.014,0.027,0.049,0.039,0.184,0.084,0.165,0.067
"88","2008-04-01",-0.058,-0.026,-0.019,-0.029,0.038,0.05,-0.068,-0.035
"89","2008-05-01",-0.027,0.085,0.073,0.009,0.081,0.071,0.109,0.185
"90","2008-06-01",0.007,-0.032,0.01,0.034,0.037,0.065,-0.049,0.031
"91","2008-07-01",-0.081,-0.031,-0.043,-0.115,-0.067,-0.009,-0.129,0.008
"92","2008-08-01",0.041,0.049,-0.002,-0.141,-0.009,0.101,-0.082,0.029
"93","2008-09-01",-0.1,-0.025,-0.091,-0.101,-0.015,0.045,-0.043,-0.072
"94","2008-10-01",-0.07,0.027,-0.073,-0.101,0.024,-0.037,-0.059,-0.074
